id,w,h,search,n_bounds,cx,cy,apothems,fit_rms,strengths,cx_each,cy_each
7-213,1468,2048,open,3,146.603,156.748,57.134;67.063;71.555,0.364;0.266;0.312,2677;2566;1828,146.587;146.451;146.842,156.725;156.787;156.726
7-214,1468,2048,open,3,146.618,156.741,57.225;67.087;71.594,0.307;0.290;0.306,1605;1698;1316,146.552;146.472;146.886,156.740;156.778;156.696
7-215,1468,2048,open,3,146.550,156.751,57.276;67.008;71.574,0.244;0.278;0.299,1959;1952;1459,146.394;146.535;146.781,156.727;156.787;156.734
7-216,1468,2048,open,3,146.584,156.742,57.206;67.012;71.589,0.316;0.267;0.313,2886;2836;2096,146.356;146.581;146.902,156.728;156.789;156.699
7-217,1468,2048,open,3,146.623,156.731,57.216;67.149;71.608,0.298;0.248;0.310,2729;2785;2177,146.357;146.605;146.977,156.737;156.778;156.662
7-218,1468,2048,open,3,146.595,156.753,57.777;66.578;72.071,0.203;0.144;0.393,2184;2382;1619,146.560;146.558;146.697,156.727;156.741;156.804
7-219,1468,2048,open,3,146.673,156.753,57.243;67.145;71.619,0.276;0.207;0.314,2292;2159;1563,146.436;146.667;147.031,156.757;156.791;156.696
7-22-P2,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-22,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-220,1468,2048,open,3,146.691,156.753,57.352;67.090;71.629,0.142;0.169;0.252,2532;2478;1827,146.526;146.773;146.808,156.742;156.796;156.711
7-221,1468,2048,open,2,146.298,155.579,67.394;78.980,0.340;0.253,1509;1583,145.975;146.607,155.594;155.564
7-222,1468,2048,open,2,146.308,155.560,67.469;78.923,0.345;0.253,2190;2338,146.113;146.490,155.576;155.544
7-223,1468,2048,open,3,146.608,156.801,57.740;66.617;72.028,0.201;0.170;0.374,2712;2845;1932,146.557;146.571;146.734,156.804;156.779;156.828
7-224,1468,2048,open,2,146.307,155.542,67.710;78.589,0.221;0.126,2833;2190,146.189;146.460,155.529;155.558
7-23-P2,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-23,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-24-P2-A,1468,2048,open,3,146.587,156.777,57.740;66.606;72.025,0.193;0.163;0.350,2774;2932;1933,146.556;146.538;146.707,156.773;156.755;156.816
7-24-P2-B,1468,2048,open,3,146.588,156.713,57.766;66.553;72.050,0.201;0.153;0.358,1851;1969;1319,146.555;146.545;146.700,156.713;156.677;156.767
7-24,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-25,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-26-P2-1663,1468,2048,open,3,146.589,156.778,57.734;66.606;72.022,0.193;0.164;0.361,2768;2920;1911,146.561;146.535;146.712,156.780;156.748;156.820
7-26-P2,1468,2048,open,3,146.587,156.777,57.740;66.606;72.025,0.193;0.163;0.350,2774;2932;1933,146.556;146.538;146.707,156.773;156.755;156.816
7-26,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-27,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-28,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-29,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-3,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-30,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-31,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-32,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-33,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-34,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-35,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-36,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-37-P3,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-37,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-38-P3,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-38,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-39,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-4,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-40,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-41,1468,2048,open,3,146.749,156.729,57.109;67.109;71.620,0.374;0.196;0.317,2952;2922;2157,146.528;146.716;147.097,156.736;156.795;156.631
7-42,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-43,1468,2048,open,3,146.749,156.729,57.109;67.109;71.620,0.374;0.196;0.317,2952;2922;2157,146.528;146.716;147.097,156.736;156.795;156.631
7-44,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-45,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-46,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-47,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-48,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-49,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-5,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-50,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-51,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-52,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-53,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-54,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-55,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-56,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
