id,file,setCode,number,promoGrouping,rarity,bordered_empirical,black_level,left_px,right_px,top_px,band_top_px,emb_score_std,emb_x_std,emb_y_std,emb_score_enc,emb_x_enc,emb_y_enc,top_px_v2
1-214,images/1-214.jpg,1,214,,Enchanted,False,163.0,-1,-1,-1,-1,0.573,647,1903,0.3367,738,1891,-1
1-215,images/1-215.jpg,1,215,,Enchanted,False,61.0,-1,-1,-1,-1,0.5476,647,1903,0.3366,562,1889,-1
1-216,images/1-216.jpg,1,216,,Enchanted,False,125.0,-1,-1,-1,-1,0.5661,647,1903,0.3392,562,1889,-1
1-22,images/1-22.jpg,1,22,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-22-P1,images/1-22-P1.jpg,1,22,P1,Special,False,1.0,-1,-1,-1,-1,0.1974,565,1868,0.2409,642,1916,-1
1-23,images/1-23.jpg,1,23,,Super Rare,True,1.0,60,60,66,1907,0.6541,641,1900,0.3361,571,1886,66
1-23-P1,images/1-23-P1.jpg,1,23,P1,Special,False,136.0,-1,-1,-1,-1,0.1779,565,1867,0.2409,642,1916,-1
1-24,images/1-24.jpg,1,24,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,66
1-24-P1,images/1-24-P1.jpg,1,24,P1,Special,True,1.0,61,60,68,1906,0.6352,640,1899,0.3386,557,1886,67
1-25,images/1-25.jpg,1,25,,Uncommon,True,1.0,60,60,66,1907,0.6457,645,1899,0.356,737,1886,66
1-26,images/1-26.jpg,1,26,,Common,True,1.0,60,60,67,1907,0.7407,647,1900,0.3612,733,1886,67
1-27,images/1-27.jpg,1,27,,Common,True,1.0,60,60,66,1907,0.7407,647,1900,0.3612,733,1886,66
1-28,images/1-28.jpg,1,28,,Common,True,1.0,60,60,67,1907,0.7407,647,1900,0.3612,733,1886,67
1-29,images/1-29.jpg,1,29,,Rare,True,1.0,60,60,66,1907,0.6228,648,1900,0.3529,576,1886,65
1-3,images/1-3.jpg,1,3,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-3-P1,images/1-3-P1.jpg,1,3,P1,Special,True,1.0,60,60,67,1907,0.4436,780,1899,0.3144,560,1885,66
1-30,images/1-30.jpg,1,30,,Rare,True,1.0,60,60,65,1907,0.6228,648,1900,0.3529,576,1886,65
1-31,images/1-31.jpg,1,31,,Uncommon,True,1.0,60,60,66,1907,0.6457,645,1899,0.356,737,1886,66
1-32,images/1-32.jpg,1,32,,Common,True,1.0,61,61,67,1906,0.7375,647,1900,0.3603,733,1886,67
1-33,images/1-33.jpg,1,33,,Rare,True,1.0,61,61,67,1907,0.6197,647,1900,0.3519,576,1886,67
1-34,images/1-34.jpg,1,34,,Rare,True,1.0,61,61,67,1907,0.6197,647,1900,0.3519,576,1886,67
1-35,images/1-35.jpg,1,35,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-36,images/1-36.jpg,1,36,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-37,images/1-37.jpg,1,37,,Rare,True,1.0,60,60,66,1907,0.6226,648,1900,0.3534,576,1886,66
1-38,images/1-38.jpg,1,38,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-39,images/1-39.jpg,1,39,,Rare,True,1.0,60,60,67,1907,0.6211,647,1900,0.3522,575,1886,66
1-4,images/1-4.jpg,1,4,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-4-C1,images/1-4-C1.jpg,1,4,C1,Special,False,12.0,-1,-1,-1,-1,0.2682,636,1886,0.4078,634,1900,-1
1-4-P1,images/1-4-P1.jpg,1,4,P1,Special,True,1.0,60,60,67,1907,0.4436,780,1899,0.3144,560,1885,66
